"","x","y","phy_con","age_bsm_mean","age_bsm_sd","DR_jetz","DR_insitu_bsm_mean","DR_insitu_bsm_sd","DR_prop_bsm_mean","DR_prop_bsm_sd"
"3456",-44.75013943,-10.250139208,"A",7.88083700410181,3.61477292982774,0.0914610249551996,0.133832423406149,0.0160315878010796,0.240939022265566,0.0724492915477854
"3457",-44.250139432,-10.250139208,"A",7.88083700410181,3.61477292982774,0.0914610249551996,0.133832423406149,0.0160315878010796,0.240939022265566,0.0724492915477854
"3458",-44.250139432,-11.250139204,"A",7.06113209109033,3.25165242576134,0.0875617980809496,0.144711327110161,0.0293841922358806,0.267335858197357,0.0719571265749461
"3459",-43.250139436,-11.250139204,"A",7.88083700410181,3.61477292982774,0.0914610249551996,0.133832423406149,0.0160315878010796,0.240939022265566,0.0724492915477854
"3460",-44.250139432,-11.750139202,"A",7.06113209109033,3.25165242576134,0.0875617980809496,0.144711327110161,0.0293841922358806,0.267335858197357,0.0719571265749461
"3461",-43.250139436,-11.750139202,"A",7.06113209109033,3.25165242576134,0.0875617980809496,0.144711327110161,0.0293841922358806,0.267335858197357,0.0719571265749461
"3462",-51.750139402,-23.750139154,"A",10.4632864661844,3.47937249210519,0.0971451888288486,0.114091835806793,0.00681307549233396,0.660962301495052,0.026761777849158
"3463",-55.250139388,-24.250139152,"A",11.3180401904656,3.9195662363698,0.089457819041105,0.102437528769236,0.0072631502785224,0.689213126132792,0.0282614069150777
"3464",-50.250139408,-27.25013914,"A",12.8140668507544,4.1393744513871,0.105404208584597,0.119352440661165,0.00602171849476648,0.831707328152464,0.0239464744802145
"3465",-49.75013941,-27.750139138,"A",13.4389926285789,4.39194226932587,0.103521899827748,0.116229854795177,0.00612454344749318,0.847547164240618,0.0269923488389596
"3466",-51.250139404,-28.750139134,"A",13.7957832166654,4.35068829990577,0.0993432450765072,0.111309434887503,0.00641522009114266,0.846882154357344,0.0265951655532831
"3467",-50.750139406,-28.750139134,"A",13.7147863923061,4.4730958516797,0.102710796644233,0.115593493859133,0.00635005111872669,0.861141983154924,0.0261856524827318
"3468",-50.250139408,-28.750139134,"A",12.7246599463411,4.06885254577584,0.105383590390682,0.119900683613244,0.00631689008431406,0.826650316305932,0.0244373444329593
"3469",-38.750139454,-3.750139234,"C",0.562521968625599,0.441177167144472,0.0703533079439361,0.389840572146314,0.0766851701719565,0.314618587374305,0.0634177317700974
"3470",-38.250139456,-3.750139234,"D",1e-04,0,0.0646885358048293,NA,NA,0,0
"3471",-38.750139454,-4.250139232,"C",2.25413233674443,1.10473448265959,0.073591655688606,0.093275947231531,0.00530386607938431,0.142003068840865,0.00745920071221828
"3472",-38.250139456,-4.250139232,"D",1e-04,0,0.0659534713805151,NA,NA,0,0
"3473",-35.250139468,-5.750139226,"C",2.41133724404507,1.16147870550376,0.0735157807351162,0.113416583317772,0.0288754245993677,0.153988685972516,0.0230474780545201
"3474",-35.250139468,-6.250139224,"C",2.03207659845318,0.961043463501758,0.0742554899135306,0.113416583317772,0.0288754245993677,0.152553649597496,0.022832696240182
"3475",-34.75013947,-6.250139224,"C",1.82887893860786,0.864939117151582,0.0781944663508918,0.113416583317772,0.0288754245993677,0.134016322227394,0.0200582154849651
"3476",-35.250139468,-6.750139222,"C",1.52408244883989,0.720782597626319,0.0809838804025151,0.113416583317772,0.0288754245993677,0.104897101669691,0.0156999433656214
"3477",-34.75013947,-6.750139222,"C",1.66262630782533,0.78630828831962,0.0766846491689156,0.113416583317772,0.0288754245993677,0.124604387212609,0.0186495316954136
"3478",-34.75013947,-7.25013922,"B",15.7343178815703,3.60955257574539,0.0780345919030758,0.0885213772528195,0.00443289220005208,0.659980774301377,0.0293190887134916
"3479",-63.250139356,10.24986071,"C",6.93446489631892,2.9199713601106,0.081547348145275,0.0981396158272792,0.0147221881210643,0.395668335071044,0.0403777671256654
"3480",-61.750139362,9.749860712,"C",8.66805612039865,3.64996420013825,0.0850316192962332,0.0981396158272792,0.0147221881210643,0.466746933172783,0.0476313045644283
"3481",-78.250139296,9.249860714,"C",8.127935686514,2.9921791139783,0.0766480915860101,0.0950350324032564,0.0050883275123442,0.577342477809379,0.0309530670411682
"3482",-77.750139298,9.249860714,"D",0.40177128818425,0.870879298557564,0.0770074332155401,NA,NA,0,0
"3483",-61.250139364,9.249860714,"C",8.45624560056352,2.94396279207064,0.0723211605393586,0.102330767227211,0.0117564317258051,0.684895611320365,0.0513789072085401
"3484",-60.750139366,9.249860714,"D",0.535661717579,1.16117239807675,0.0845593518083206,NA,NA,0,0
"3485",-78.750139294,8.749860716,"D",1.3323666680408,1.5445915102609,0.0733114148703746,0.0674253681243851,0.000917958240567642,0.148138115604213,0.00211218298570249
"3486",-78.250139296,8.749860716,"D",0.3214370305474,0.696703438846051,0.0675379854194312,NA,NA,0,0
"3487",-77.750139298,8.749860716,"D",1.11032222336733,1.28715959188408,0.0664513804692678,0.0674253681243851,0.000917958240567642,0.132323561891623,0.00188669590466349
"3488",-77.2501393,8.749860716,"D",1.3323666680408,1.5445915102609,0.0733114148703746,0.0674253681243851,0.000917958240567642,0.148138115604213,0.00211218298570249
"3489",-71.250139324,8.749860716,"D",0.324812382945429,0.82235861414379,0.0745426656755217,NA,NA,0,0
"3490",-61.250139364,8.749860716,"D",0.40177128818425,0.870879298557564,0.0754048360037942,NA,NA,0,0
"3491",-60.250139368,8.749860716,"D",0.40177128818425,0.870879298557564,0.0754048360037942,NA,NA,0,0
"3492",-78.250139296,8.249860718,"D",0.40177128818425,0.870879298557564,0.0770074332155401,NA,NA,0,0
"3493",-77.750139298,8.249860718,"D",1.11032222336733,1.28715959188408,0.0664513804692678,0.0674253681243851,0.000917958240567642,0.132323561891623,0.00188669590466349
"3494",-77.2501393,8.249860718,"D",1.11032222336733,1.28715959188408,0.0664513804692678,0.0674253681243851,0.000917958240567642,0.132323561891623,0.00188669590466349
"3495",-77.750139298,7.74986072,"D",0.40177128818425,0.870879298557564,0.0770074332155401,NA,NA,0,0
"3496",-77.2501393,7.74986072,"C",8.34164689115067,2.54298928455727,0.0687107573489286,0.0763705417511172,0.00247376388683977,0.614895740578797,0.0277640781440749
"3497",-76.250139304,7.74986072,"D",0.3214370305474,0.696703438846051,0.0698647530128452,NA,NA,0,0
"3498",-75.750139306,7.74986072,"D",0.378931113436333,0.959418383167755,0.06826920990336,NA,NA,0,0
"3499",-75.250139308,7.74986072,"D",0.3214370305474,0.696703438846051,0.0675379854194312,NA,NA,0,0
"3500",-77.750139298,7.249860722,"D",0.3214370305474,0.696703438846051,0.0675379854194312,NA,NA,0,0
"3501",-77.2501393,7.249860722,"C",8.34164689115067,2.54298928455727,0.0687107573489286,0.0763705417511172,0.00247376388683977,0.614895740578797,0.0277640781440749
"3502",-74.75013931,7.249860722,"D",0.3214370305474,0.696703438846051,0.0675379854194312,NA,NA,0,0
"3503",-73.750139314,7.249860722,"D",0.3214370305474,0.696703438846051,0.0675379854194312,NA,NA,0,0
"3504",-71.750139322,7.249860722,"D",0.3214370305474,0.696703438846051,0.0675379854194312,NA,NA,0,0
"3505",-77.750139298,6.749860724,"D",0.40177128818425,0.870879298557564,0.069483753227827,NA,NA,0,0
"3506",-77.2501393,6.749860724,"D",0.3214370305474,0.696703438846051,0.0675379854194312,NA,NA,0,0
"3507",-74.250139312,6.749860724,"C",8.265854274339,2.54627422680705,0.0636017379132421,0.0763705417511172,0.00247376388683977,0.653708937655426,0.0295165909125689
